 ID,Company,Product,Issue,State,Submitted via,Date received,Date resolved,Timely response?,Consumer disputed?,state name,Date received,Date resolved,Resolution time(in days),Year,QTR (US FLY)
561593,Wells Fargo & Company,Bank account or service,Problems caused by my funds being low,FL,Phone,10/17/2013,10/18/2013,Yes,No,Florida,10/17/2013,10/18/2013,1,2013,Q4
771659,Bank of America,Bank account or service,Deposits and withdrawals,CA,Web,03/21/2014,03/21/2014,Yes,No,California,3/21/2014,3/21/2014,0,2014,Q1
711888,Wells Fargo & Company,Student loan,Dealing with my lender or servicer,IL,Web,12/02/2014,12/02/2014,Yes,No,Illinois,02/12/2014,02/12/2014,0,2014,Q1
1633385,Wells Fargo & Company,Bank account or service,"Account opening, closing, or management",PA,Phone,10/30/2015,10/30/2015,No,No,Pennsylvania,10/30/2015,10/30/2015,0,2015,Q4
1697127,Amex,Credit card,Customer service / Customer relations,CA,Phone,12/15/2015,12/16/2015,Yes,No,California,12/15/2015,12/16/2015,1,2015,Q4
1798854,Wells Fargo & Company,Consumer Loan,Managing the loan or lease,OH,Phone,02/22/2016,02/23/2016,Yes,No,Ohio,2/22/2016,2/23/2016,1,2016,Q1
1482773,Encore Capital Group,Debt collection,Communication tactics,IN,Phone,07/23/2015,07/27/2015,Yes,No,Indiana,7/23/2015,7/27/2015,4,2015,Q3
1093866,Round Point Mortgage,Mortgage,"Loan servicing, payments, escrow account",AR,Web,10/30/2014,10/30/2014,Yes,No,Arkansas,10/30/2014,10/30/2014,0,2014,Q4
1980723,"SRA Associates, Inc.",Debt collection,Communication tactics,CA,Phone,06/22/2016,06/26/2016,Yes,No,California,6/22/2016,6/26/2016,4,2016,Q2
658682,Wells Fargo & Company,Mortgage,"Application, originator, mortgage broker",MA,Email,08/01/2014,08/01/2014,Yes,Yes,Massachusetts,01/08/2014,01/08/2014,0,2014,Q1
526491,Bank of America,Bank account or service,Problems caused by my funds being low,GA,Web,09/15/2013,09/16/2013,Yes,No,Georgia,9/15/2013,9/16/2013,1,2013,Q3
1334119,Bank of America,Mortgage,"Loan servicing, payments, escrow account",MN,Web,04/15/2015,04/15/2015,Yes,No,Minnesota,4/15/2015,4/15/2015,0,2015,Q2
2069081,TD Bank US Holding Company,Credit card,Credit determination,TX,Web,08/17/2016,08/17/2016,Yes,No,Texas,8/17/2016,8/17/2016,0,2016,Q3
1213555,Regions Financial Corporation,Mortgage,"Loan servicing, payments, escrow account",AR,Web,01/28/2015,02/02/2015,Yes,Yes,Arkansas,1/28/2015,02/02/2015,5,2015,Q1
368624,Bank of America,Mortgage,"Loan servicing, payments, escrow account",ME,Email,03/28/2013,03/29/2013,Yes,Yes,Maine,3/28/2013,3/29/2013,1,2013,Q1
862683,TMX Finance LLC,Payday loan,Charged fees or interest I didn't expect,TX,Phone,05/21/2014,05/22/2014,Yes,No,Texas,5/21/2014,5/22/2014,1,2014,Q2
821215,PNC Bank N.A.,Debt collection,Taking/threatening an illegal action,VA,Web,04/23/2014,04/23/2014,Yes,No,Virginia,4/23/2014,4/23/2014,0,2014,Q2
253867,Bank of America,Bank account or service,"Making/receiving payments, sending money",CA,Email,01/23/2013,01/23/2013,Yes,No,California,1/23/2013,1/23/2013,0,2013,Q1
389147,TD Bank US Holding Company,Credit card,Billing disputes,SC,Web,04/22/2013,04/23/2013,Yes,No,South Carolina,4/22/2013,4/23/2013,1,2013,Q2
1715858,Persian Acceptance Corp,Credit reporting,Credit reporting company's investigation,MA,Web,12/23/2015,01/28/2016,No,No,Massachusetts,12/23/2015,1/28/2016,36,2015,Q4
1665697,"SunTrust Banks, Inc.",Bank account or service,Deposits and withdrawals,NC,Phone,11/20/2015,11/24/2015,Yes,No,North Carolina,11/20/2015,11/24/2015,4,2015,Q4
1691503,Wells Fargo & Company,Debt collection,"Loan modification,collection,foreclosure",NC,Email,10/12/2015,12/14/2015,Yes,No,North Carolina,12/10/2015,12/14/2015,4,2015,Q4
539418,Equifax,Credit reporting,Credit reporting company's investigation,MI,Web,09/24/2013,09/26/2013,Yes,No,Michigan,9/24/2013,9/26/2013,2,2013,Q3
